"id","name","typ_oaci","pax","tonnage"
"manureva.manureva_type_aeronef_at45","AT45","AT45",48,"18.6"
"manureva.manureva_type_aeronef_at75","AT75","AT75",68,"22.8"
"manureva.manureva_type_aeronef_ga8","GA8","GA8",0,"1.814"
"manureva.manureva_type_aeronef_be20","BE20","BE20",9,"5.67"
"manureva.manureva_type_aeronef_dhc6","DHC6","DHC6",0,"5.67"
"manureva.manureva_type_aeronef_b190","B190","B190",0,"7.78"
"manureva.manureva_type_aeronef_bn2t","BN2T","BN2T",0,"3.2"
"__export__.manureva_type_aeronef_8_88e2689f","H135","H135",0,"0.0"
"__export__.manureva_type_aeronef_9_072a7b54","C208","C208",0,"0.0"
"__export__.manureva_type_aeronef_10_28f198f5","EC135","EC135",0,"0.0"
"__export__.manureva_type_aeronef_11_65e10fa1","AS3500B2","AS3500B2",0,"0.0"
"__export__.manureva_type_aeronef_12_60c0ae88","AS350B2","AS350B2",0,"0.0"
"__export__.manureva_type_aeronef_13_051547c5","H125","H125",0,"0.0"
