"id","cie_oaci","partner_id/id","type_activite_id/id"
"manureva.manureva_usager_368076","RHL","manureva.manureva_usager_368076_res_partner","manureva.manureva_type_activite_transport_aerien_public"
"manureva.manureva_usager_197160","ACI","manureva.manureva_usager_197160_res_partner","manureva.manureva_type_activite_transport_aerien_public"
"manureva.manureva_usager_974832","AGE","manureva.manureva_usager_974832_res_partner","manureva.manureva_type_activite_transport_aerien_public"
"manureva.manureva_usager_23598","VTA","manureva.manureva_usager_23598_res_partner","manureva.manureva_type_activite_transport_aerien_public"
"manureva.manureva_usager_926923","ATE","manureva.manureva_usager_926923_res_partner","manureva.manureva_type_activite_transport_aerien_public"
"manureva.manureva_usager_c74263",,"manureva.manureva_usager_c74263_res_partner","manureva.manureva_type_activite_aviation_generale"
"manureva.manureva_usager_845008",,"manureva.manureva_usager_845008_res_partner","manureva.manureva_type_activite_aviation_generale"
"manureva.manureva_usager_348755",,"manureva.manureva_usager_348755_res_partner","manureva.manureva_type_activite_aviation_generale"
"manureva.manureva_usager_903005",,"manureva.manureva_usager_903005_res_partner","manureva.manureva_type_activite_aviation_generale"
"manureva.manureva_usager_598888",,"manureva.manureva_usager_598888_res_partner","manureva.manureva_type_activite_aviation_generale"
"manureva.manureva_usager_555458",,"manureva.manureva_usager_555458_res_partner","manureva.manureva_type_activite_aviation_generale"
"manureva.manureva_usager_d38969",,"manureva.manureva_usager_d38969_res_partner","manureva.manureva_type_activite_aviation_generale"
"manureva.manureva_usager_947341",,"manureva.manureva_usager_947341_res_partner","manureva.manureva_type_activite_aviation_generale"
"manureva.manureva_usager_650143",,"manureva.manureva_usager_650143_res_partner","manureva.manureva_type_activite_aviation_generale"
"manureva.manureva_usager_536623",,"manureva.manureva_usager_536623_res_partner","manureva.manureva_type_activite_aviation_generale"
"manureva.manureva_usager_c62441","IAL","manureva.manureva_usager_c62441_res_partner","manureva.manureva_type_activite_transport_aerien_public"
"manureva.manureva_usager_288886",,"manureva.manureva_usager_288886_res_partner","manureva.manureva_type_activite_aviation_generale"
"manureva.manureva_usager_d11172",,"manureva.manureva_usager_d11172_res_partner","manureva.manureva_type_activite_aviation_generale"
"manureva.manureva_usager_694695",,"manureva.manureva_usager_694695_res_partner","manureva.manureva_type_activite_aviation_generale"
"manureva.manureva_usager_580662",,"manureva.manureva_usager_580662_res_partner","manureva.manureva_type_activite_aviation_generale"
"manureva.manureva_usager_387746",,"manureva.manureva_usager_387746_res_partner","manureva.manureva_type_activite_aviation_generale"
"manureva.manureva_usager_a08240","MANA","manureva.manureva_usager_a08240_res_partner","manureva.manureva_type_activite_aviation_generale"
"manureva.manureva_usager_401794",,"manureva.manureva_usager_401794_res_partner","manureva.manureva_type_activite_aviation_generale"
"manureva.manureva_usager_577866",,"manureva.manureva_usager_577866_res_partner","manureva.manureva_type_activite_aviation_generale"
"manureva.manureva_usager_283143",,"manureva.manureva_usager_283143_res_partner","manureva.manureva_type_activite_aviation_generale"
"manureva.manureva_usager_39800","POPE","manureva.manureva_usager_39800_res_partner","manureva.manureva_type_activite_aviation_generale"
"manureva.manureva_usager_c17619",,"manureva.manureva_usager_c17619_res_partner","manureva.manureva_type_activite_aviation_generale"
"manureva.manureva_usager_812800",,"manureva.manureva_usager_812800_res_partner","manureva.manureva_type_activite_aviation_generale"
"manureva.manureva_usager_554634",,"manureva.manureva_usager_554634_res_partner","manureva.manureva_type_activite_aviation_generale"
"manureva.manureva_usager_510628",,"manureva.manureva_usager_510628_res_partner","manureva.manureva_type_activite_aviation_generale"
"manureva.manureva_usager_a50960","TAC","manureva.manureva_usager_a50960_res_partner","manureva.manureva_type_activite_transport_aerien_public"
"manureva.manureva_usager_c35058",,"manureva.manureva_usager_c35058_res_partner","manureva.manureva_type_activite_aviation_generale"
"manureva.manureva_usager_82198",,"manureva.manureva_usager_82198_res_partner","manureva.manureva_type_activite_aviation_generale"
"manureva.manureva_usager_c74362","TNH","manureva.manureva_usager_c74362_res_partner","manureva.manureva_type_activite_transport_aerien_public"
"manureva.manureva_usager_a52941","TPAR","manureva.manureva_usager_a52941_res_partner","manureva.manureva_type_activite_aviation_generale"
"manureva.manureva_usager_c43128",,"manureva.manureva_usager_c43128_res_partner","manureva.manureva_type_activite_aviation_generale"
"manureva.manureva_usager_646562",,"manureva.manureva_usager_646562_res_partner","manureva.manureva_type_activite_aviation_generale"
"manureva.manureva_usager_c89568","UA","manureva.manureva_usager_c89568_res_partner","manureva.manureva_type_activite_transport_aerien_public"
"manureva.manureva_usager_991620",,"manureva.manureva_usager_991620_res_partner","manureva.manureva_type_activite_aviation_generale"
"manureva.manureva_usager_813576",,"manureva.manureva_usager_813576_res_partner","manureva.manureva_type_activite_aviation_generale"
